representation,classifier,calibration,direction,temperature_dir1,temperature_dir2,balanced_accuracy,accuracy,macro_f1,negative_log_likelihood,multiclass_brier_score,expected_calibration_error
raw,lda,uncalibrated,pooled_two_directions,1.0,1.0,0.8517837690631809,0.849802371541502,0.8474866057281446,0.489608441005082,0.22621794421058045,0.02401312552809478
raw,lda,iid_temperature,pooled_two_directions,0.9525221597640886,0.8963320961378557,0.8517837690631809,0.849802371541502,0.8474866057281446,0.49660564162082493,0.22670958167639682,0.03464293721268755
raw,lda,shift_aware_temperature,pooled_two_directions,0.9199958434074338,0.8808953888622286,0.8517837690631809,0.849802371541502,0.8474866057281446,0.5004233351615986,0.2272877571974969,0.03906399552987549
raw,lr,uncalibrated,pooled_two_directions,1.0,1.0,0.7973834933278867,0.7944664031620553,0.7945200506787837,0.6318056427588473,0.3015258151925764,0.07520464964962596
raw,lr,iid_temperature,pooled_two_directions,0.7340166591505667,0.7800313483021667,0.7973834933278867,0.7944664031620553,0.7945200506787837,0.622209585181673,0.288201961756367,0.02809178751374307
raw,lr,shift_aware_temperature,pooled_two_directions,0.684742794722007,0.7599677090794008,0.7973834933278867,0.7944664031620553,0.7945200506787837,0.6236080064838745,0.287410592519995,0.027625564343013564
raw,svm,uncalibrated,pooled_two_directions,1.0,1.0,0.6920530364923747,0.6877470355731226,0.6839088036265287,0.9978863208611172,0.4891072087871936,0.050245083828535826
raw,svm,iid_temperature,pooled_two_directions,1.012234716073474,1.0299729982847543,0.6920530364923747,0.6877470355731226,0.6839088036265287,0.9976046271771005,0.4900900115634757,0.05644260738828407
raw,svm,shift_aware_temperature,pooled_two_directions,1.012234716073474,0.9948019240608019,0.6920530364923747,0.6877470355731226,0.6839088036265287,0.9981135032623923,0.4892847325570388,0.05018546031073723
snv,lda,uncalibrated,pooled_two_directions,1.0,1.0,0.8682704418572985,0.866600790513834,0.861307825506461,0.4143702065363579,0.2052587513852066,0.0670776210913829
snv,lda,iid_temperature,pooled_two_directions,1.3365801614914623,1.325020828017607,0.8682704418572985,0.866600790513834,0.861307825506461,0.36245801917050485,0.19545369673460658,0.04166067801260077
snv,lda,shift_aware_temperature,pooled_two_directions,1.3135614647469684,1.325020828017607,0.8682704418572985,0.866600790513834,0.861307825506461,0.3643627798483817,0.19601514141272613,0.04235525374742534
snv,lr,uncalibrated,pooled_two_directions,1.0,1.0,0.8574048543028323,0.8557312252964426,0.8520666533012322,0.4939574758703692,0.20440002394544235,0.03342045424306733
snv,lr,iid_temperature,pooled_two_directions,0.9361177424536046,0.9120393144577297,0.8574048543028323,0.8557312252964426,0.8520666533012322,0.5024091510674024,0.20533730367747632,0.03967439349757973
snv,lr,shift_aware_temperature,pooled_two_directions,0.9608318565274393,0.9041515970721004,0.8574048543028323,0.8557312252964426,0.8520666533012322,0.5004499917608748,0.20477620144515857,0.03838800568021693
snv,svm,uncalibrated,pooled_two_directions,1.0,1.0,0.7846137152777778,0.7816205533596838,0.7812382437993358,0.7832196368068342,0.38606447971258573,0.13002187850535765
snv,svm,iid_temperature,pooled_two_directions,0.7089517744947607,0.7151365904651837,0.7846137152777778,0.7816205533596838,0.7812382437993358,0.7628557686650114,0.36156166676788254,0.02811689338560983
snv,svm,shift_aware_temperature,pooled_two_directions,0.7213753620782388,0.684742794722007,0.7846137152777778,0.7816205533596838,0.7812382437993358,0.7634932762097099,0.36102230552950965,0.013975303241216947
msc,lda,uncalibrated,pooled_two_directions,1.0,1.0,0.8652833095043573,0.8636363636363636,0.858048656995716,0.4708804452635217,0.21811137454971577,0.06863581001177642
msc,lda,iid_temperature,pooled_two_directions,1.257734201273207,1.383834754520582,0.8652833095043573,0.8636363636363636,0.858048656995716,0.4202816611271195,0.2111005624082853,0.050054324049478294
msc,lda,shift_aware_temperature,pooled_two_directions,1.2360733963335464,1.3482403372974037,0.8652833095043573,0.8636363636363636,0.858048656995716,0.4230050691743712,0.2114748609538747,0.0509028969743935
msc,lr,uncalibrated,pooled_two_directions,1.0,1.0,0.8491327954793029,0.8468379446640316,0.8439377749800536,0.5213912749481938,0.21786748553905802,0.030476470569397743
msc,lr,iid_temperature,pooled_two_directions,0.9199958434074338,0.8963320961378557,0.8491327954793029,0.8468379446640316,0.8439377749800536,0.5324002929541711,0.21898455759002444,0.04315780102771054
msc,lr,shift_aware_temperature,pooled_two_directions,0.9525221597640886,0.8808953888622286,0.8491327954793029,0.8468379446640316,0.8439377749800536,0.5300462759244651,0.21826599672605798,0.042355564750636496
msc,svm,uncalibrated,pooled_two_directions,1.0,1.0,0.7845562704248366,0.7816205533596838,0.781034237564264,0.7842967746420936,0.3869317319482503,0.12901810064368865
msc,svm,iid_temperature,pooled_two_directions,0.7089517744947607,0.7213753620782388,0.7845562704248366,0.7816205533596838,0.781034237564264,0.7641653812376559,0.3629792767256562,0.02623974247234441
msc,svm,shift_aware_temperature,pooled_two_directions,0.7276685600369163,0.6788208376736704,0.7845562704248366,0.7816205533596838,0.781034237564264,0.7650023052225294,0.36219034114943316,0.014065151738410196
sg1,lda,uncalibrated,pooled_two_directions,1.0,1.0,0.9361213235294118,0.9347826086956522,0.9353603830264797,0.23586155810172968,0.09849574889181886,0.037874297316311964
sg1,lda,iid_temperature,pooled_two_directions,1.8918523514461614,2.212018434161447,0.9361213235294118,0.9347826086956522,0.9353603830264797,0.17810680965078787,0.09299604550452378,0.008847641997572528
sg1,lda,shift_aware_temperature,pooled_two_directions,1.8592707100168115,2.1928879252196896,0.9361213235294118,0.9347826086956522,0.9353603830264797,0.17875624113959868,0.09308523272353533,0.009533011554888449
sg1,lr,uncalibrated,pooled_two_directions,1.0,1.0,0.895088677832244,0.8932806324110671,0.8928464697196543,0.36698837945795104,0.16570365429593994,0.025813186857301135
sg1,lr,iid_temperature,pooled_two_directions,1.0571649518373711,0.7732852939053811,0.895088677832244,0.8932806324110671,0.8928464697196543,0.38456143723293323,0.16809749320757902,0.0360754485042806
sg1,lr,shift_aware_temperature,pooled_two_directions,1.0756905862201822,0.7404201383707243,0.895088677832244,0.8932806324110671,0.8928464697196543,0.3887438409674975,0.16862397857822825,0.03607131722526212
sg1,svm,uncalibrated,pooled_two_directions,1.0,1.0,0.8654471337145969,0.8636363636363636,0.8607984890627327,0.6318059762450504,0.3061109665768392,0.21233497532781917
sg1,svm,iid_temperature,pooled_two_directions,0.4632055070611421,0.46724646008605175,0.8654471337145969,0.8636363636363636,0.8607984890627327,0.5544322257024834,0.2402677050217236,0.025895883040219607
sg1,svm,shift_aware_temperature,pooled_two_directions,0.4473881649590467,0.42837386099952657,0.8654471337145969,0.8636363636363636,0.8607984890627327,0.5674779734536459,0.24113540603463146,0.03919262320860562
sg2,lda,uncalibrated,pooled_two_directions,1.0,1.0,0.9057542721949892,0.9051383399209486,0.9063327581559868,0.5242955165891656,0.16724340881274796,0.07701362940848464
sg2,lda,iid_temperature,pooled_two_directions,2.231315835523086,3.130984879680426,0.9057542721949892,0.9051383399209486,0.9063327581559868,0.2694493273644649,0.1431702656721452,0.04261791563738701
sg2,lda,shift_aware_temperature,pooled_two_directions,2.476445165726064,3.356289513301106,0.9057542721949892,0.9051383399209486,0.9063327581559868,0.25703359977573287,0.1411461895006867,0.036140869435015294
sg2,lr,uncalibrated,pooled_two_directions,1.0,1.0,0.8551474843409586,0.8527667984189723,0.8502524268096029,0.4577114047141642,0.220564220251105,0.057739931069252466
sg2,lr,iid_temperature,pooled_two_directions,0.9361177424536046,1.038958367498952,0.8551474843409586,0.8527667984189723,0.8502524268096029,0.46770209026993276,0.22180773349531377,0.059457773042922955
sg2,lr,shift_aware_temperature,pooled_two_directions,0.9041515970721004,1.038958367498952,0.8551474843409586,0.8527667984189723,0.8502524268096029,0.4744111583945538,0.22265466276431717,0.06101067962745367
sg2,svm,uncalibrated,pooled_two_directions,1.0,1.0,0.8393161083877996,0.8379446640316206,0.8312303437557655,0.6573201910045331,0.329837171533653,0.1849791959868345
sg2,svm,iid_temperature,pooled_two_directions,0.3927352702765177,0.40662036740708496,0.8393161083877996,0.8379446640316206,0.8312303437557655,0.6592486219603063,0.2909645293455779,0.08760735000789222
sg2,svm,shift_aware_temperature,pooled_two_directions,0.3760437518378358,0.36320277180305094,0.8393161083877996,0.8379446640316206,0.8312303437557655,0.6895162469406756,0.2944295456801998,0.10154822471002832
sg1,lda_lr_ensemble,uncalibrated,pooled_two_directions,nan,nan,0.9369744859749455,0.9357707509881423,0.936208047850724,0.23853830800411863,0.106481068167197,0.022830255754366056
sg1,lda_lr_ensemble,iid_temperature,pooled_two_directions,nan,nan,0.9308768212145969,0.9298418972332015,0.9300436537784589,0.21575298314808508,0.10930303589558478,0.01739335085251256
sg1,lda_lr_ensemble,shift_aware_temperature,pooled_two_directions,nan,nan,0.9308768212145969,0.9298418972332015,0.9300436537784589,0.216089415201007,0.10936750080021976,0.016862725813794503
